
                Cantrips |  Minors | Lessers | Greaters | Advanced
ABJURATION         1     |    4    |    5    |    1     |    2
ENCHANTMENT        0     |    3    |    1    |    1     |    1
DIVINATION         6     |    2    |    1    |    2     |    0
TRANSMUTATION      2     |    3    |    3    |    2     |    1
CONJURATION        1     |    4    |    5    |    1     |    7
ILLUSION           1     |    1    |    3    |    2     |    0
===================================================================
TOTAL:            11          17        18        9         11  


SoHM GUILD LEVEL:
1.                 2	     1           -        -          -             
2.                 3	     1           -        -          -             
3.                 3	     2           -        -          -                          
4.                 4	     2           -        -          -            
5.                 4	     3           -        -          -                          
6.                 4	     4           -        -          -             
7.                 4	     4           1        -          -                         
8.                 4	     4           2        -          -             
9.                 4	     4           2        1          - 


WoHS GUILD LEVEL:

1.                 4	     4           2        1          -              
2.                 4	     4           2        1          1 
3.                 5 	     4           2        1          1
4.                 5	     4           3        1          1
5.                 5	     4           3        1          1   
6.                 6 	     4           3        1          1
7.                 6	     5           3        1          1
8.                 6	     5           3        2          1
9.                 6	     5           3        2          1
10                 7 	     5           3        2          1
11                 7	     6           3        2          1
12                 8 	     6           3        2          1
13                 8	     6           3        2          2   
