
Percent of increase to damage, relative to 170 defense + parry,
For various to_hit levels.  For example, 80 defense will be hit
61% more often for weapons at a 5, 10, 15, and 20 to_hit values.

Note that this assumes equal dexterity and encumberance.
                          to_hit

      5  10  15  20  25  30  35  40  45  50  55  60  70  80  90 100
def +===============================================================
 40 |121 121 121 121 121 119 112 101  88  74  62  51  33  21  14  10
 50 |103 103 103 103 103 103  99  92  82  70  59  49  32  21  14   9
 60 | 86  86  86  86  86  86  85  81  73  65  55  46  31  20  13   9
 70 | 74  74  74  74  74  74  73  71  66  59  51  43  29  19  13   9
 80 | 61  61  61  61  61  61  61  60  57  52  46  39  27  18  12   8
 90 | 51  51  51  51  51  51  51  51  49  46  41  36  25  17  12   8
100 | 42  42  42  42  42  42  42  41  41  39  35  31  23  16  11   7
110 | 34  34  34  34  34  34  34  34  34  33  30  27  20  14  10   7
120 | 26  26  26  26  26  26  26  26  26  26  24  22  17  12   8   6
130 | 20  20  20  20  20  20  20  20  20  20  19  18  14  10   7   5
140 | 14  14  14  14  14  14  14  14  14  14  14  13  10   7   5   4
150 |  9   9   9   9   9   9   9   9   9   9   9   9   7   5   4   3
160 |  4   4   4   4   4   4   4   4   4   4   4   4   3   2   2   1
170 |  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
180 | -4  -4  -4  -4  -4  -4  -4  -4  -4  -4  -4  -4  -4  -3  -2  -2
190 | -8  -8  -8  -8  -8  -8  -8  -8  -8  -8  -8  -8  -7  -5  -4  -3
200 |-11 -12 -12 -12 -12 -12 -12 -12 -12 -11 -11 -11 -10  -8  -7  -5
210 |-14 -14 -14 -14 -14 -14 -14 -14 -14 -14 -14 -14 -13 -11  -9  -7
220 |-18 -18 -18 -18 -18 -18 -18 -18 -18 -18 -18 -17 -16 -14 -11  -9
230 |-20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -20 -19 -16 -13 -10
240 |-23 -23 -23 -23 -23 -23 -23 -23 -23 -23 -23 -23 -22 -19 -16 -13
250 |-25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -25 -24 -21 -18 -14
260 |-28 -28 -28 -28 -28 -28 -28 -28 -28 -28 -28 -28 -26 -24 -20 -16
270 |-30 -30 -30 -30 -30 -30 -30 -30 -30 -30 -30 -30 -28 -26 -22 -18
280 |-32 -32 -32 -32 -32 -32 -32 -32 -32 -32 -32 -32 -31 -28 -24 -20
290 |-34 -34 -34 -34 -34 -34 -34 -34 -34 -34 -34 -34 -32 -30 -26 -22
