main
::MAPDATA::
road1 15 7 gateway_link
main_road2 15 6 solace_lower
main_road3 15 6 solace_lower
main_road4 15 6 solace_lower
main_road5 15 6 solace_lower
main_road6 15 6 solace_lower
main_road7 15 6 solace_lower
intersection 15 6 solace_lower
square 15 6 solace_lower
clearing1 15 6 solace_lower
clearing2 15 6 solace_lower
clearing3 15 6 solace_lower
ns_path1 15 6 solace_lower
ns_path2 15 6 solace_lower
west_road1 15 6 solace_lower
west_road2 15 6 solace_lower
west_road3 15 6 solace_lower
west_road4 15 6 solace_lower
west_road5 15 6 solace_lower
west_road6 15 6 solace_lower
west_road7 15 6 solace_lower
pier 15 6 solace_lower
pier2 15 6 solace_lower
lake1 15 6 solace_lower
sts1 15 6 solace_lower
sts2 15 6 solace_lower
sts3 15 6 solace_lower
sts4 15 6 solace_lower
sts5 15 6 solace_lower
sts6 15 6 solace_lower
sts7 15 6 solace_lower
smithy 15 6 solace_lower
small_road1 15 6 solace_lower
small_road2 15 6 solace_lower
small_road3 15 6 solace_lower
small_road4 15 6 solace_lower
small_road5 15 6 solace_lower
small_road6 15 6 solace_lower
landing2 15 6 solace_lower
park1 15 6 solace_lower
park2 15 6 solace_lower
east_road1 15 6 solace_lower
east_road2 15 6 solace_lower 
east_road3 15 6 solace_lower
shaman_tent 15 6 solace_lower
east1 15 6 solace_lower
east2 15 6 solace_lower
east3 15 6 solace_lower
east4 15 6 solace_lower
east5 15 6 solace_lower
east6 15 6 solace_lower
field1 15 6 solace_lower
field2 15 6 solace_lower
field3 15 6 solace_lower
field4 15 6 solace_lower
grass1 15 6 solace_lower
grass2 15 6 solace_lower
grass3 15 6 solace_lower
grass4 15 6 solace_lower
grass5 15 6 solace_lower
entrance 15 6 solace_lower
boulder 15 6 solace_lower
bank 15 6 solace_upper
adv_guild 15 6 solace_upper
platform1 15 6 solace_upper
platform2 15 6 solace_upper
platform3 15 6 solace_upper
platform4 15 6 solace_upper
platform5 15 6 solace_upper
platform6 15 6 solace_upper
platform7 15 6 solace_upper
platform8 15 6 solace_upper
bridge_walk01 15 6 solace_upper
bridge_walk02 15 6 solace_upper
bridge_walk03 15 6 solace_upper
bridge_walk04 15 6 solace_upper
bridge_walk05 15 6 solace_upper
bridge_walk06 15 6 solace_upper
bridge_walk07 15 6 solace_upper
bridge_walk08 15 6 solace_upper
bridge_walk09 15 6 solace_upper
bridge_walk10 15 6 solace_upper
bridge_walk11 15 6 solace_upper
bridge_walk12 15 6 solace_upper
bridge_walk13 15 6 solace_upper
bridge_walk14 15 6 solace_upper
bridge_walk15 15 6 solace_upper
bridge_walk16 15 6 solace_upper
bridge_walk17 15 6 solace_upper
bridge_walk18 15 6 solace_upper
bridge_walk19 15 6 solace_upper
bridge_walk20 15 6 solace_upper
bridge_walk21 15 6 solace_upper
bridge_walk22 15 6 solace_upper
bridge_walk23 15 6 solace_upper
bridge_walk24 15 6 solace_upper
bridge_walk25 15 6 solace_upper
bridge_walk26 15 6 solace_upper
shop 15 6 solace_upper
inn 15 6 solace_upper
inn_room 15 6 solace_upper
kitchen 15 6 solace_upper
post_office 15 6 solace_upper
wise_club 15 6 solace_upper
house1 15 6 solace_upper
house2 15 6 solace_upper
house3 15 6 solace_upper
house4 15 6 solace_upper
house5 15 6 solace_upper
house6 15 6 solace_upper
house7 15 6 solace_upper
tika 15 6 solace_upper 
questmaster 15 6 solace_upper
lake2 17 3 lake_path   
lake3 17 3 lake_path  
lake4 17 3 lake_path 
lake5 17 3 lake_path 
lake6 17 3 lake_path 
lake7 17 3 lake_path  
lake8 17 3 lake_path  
lake11 17 3 lake_path  
campfire 17 3 lake_path  
dock 17 3 lake_path
tent 17 3 lake_path
path_01 17 3 minotaur_camp
path_02 17 3 minotaur_camp
village_ent 17 3 minotaur_camp
village_01 17 3 minotaur_camp
village_02 17 3 minotaur_camp
village_03 17 3 minotaur_camp
village_a 17 3 minotaur_camp 
village_b 17 3 minotaur_camp
village_c 17 3 minotaur_camp
village_d 17 3 minotaur_camp
village_e 17 3 minotaur_camp
village_f 17 3 minotaur_camp
village_g 17 3 minotaur_camp
village_h 17 3 minotaur_camp
